Census Tract,"(Lat, Long)",Latitude,Longitude
1,"47.72079, -122.36786",47.72079,-122.36786
2,"47.72904, -122.3525",47.72904,-122.3525
3,"47.71726, -122.35198",47.71726,-122.35198
4.01,"47.73176, -122.33396",47.73176,-122.33396
4.02,"47.72708, -122.30881",47.72708,-122.30881
5,"47.71732, -122.33293",47.71732,-122.33293
6,"47.72644, -122.28555",47.72644,-122.28555
7,"47.71576, -122.30195",47.71576,-122.30195
8,"47.71322, -122.28667",47.71322,-122.28667
9,"47.70895, -122.27585",47.70895,-122.27585
10,"47.70537, -122.3652",47.70537,-122.3652
11,"47.69988, -122.37945",47.69988,-122.37945
12,"47.6956, -122.39447",47.6956,-122.39447
13,"47.6948, -122.3525",47.6948,-122.3525
14,"47.69682, -122.36477",47.69682,-122.36477
15,"47.70173, -122.34254",47.70173,-122.34254
16,"47.69387, -122.34246",47.69387,-122.34246
17.01,"47.70797, -122.32332",47.70797,-122.32332
17.02,"47.69768, -122.32606",47.69768,-122.32606
18,"47.70675, -122.30641",47.70675,-122.30641
19,"47.69612, -122.31199",47.69612,-122.31199
20,"47.70629, -122.29594",47.70629,-122.29594
21,"47.69491, -122.29757",47.69491,-122.29757
22,"47.69462, -122.28023",47.69462,-122.28023
24,"47.68671, -122.28856",47.68671,-122.28856
25,"47.68653, -122.30186",47.68653,-122.30186
26,"47.68272, -122.3119",47.68272,-122.3119
27,"47.68694, -122.32993",47.68694,-122.32993
28,"47.68492, -122.34992",47.68492,-122.34992
29,"47.68486, -122.36014",47.68486,-122.36014
30,"47.68509, -122.37688",47.68509,-122.37688
31,"47.68532, -122.39258",47.68532,-122.39258
32,"47.67353, -122.39799",47.67353,-122.39799
33,"47.67636, -122.37713",47.67636,-122.37713
34,"47.67428, -122.36143",47.67428,-122.36143
35,"47.67324, -122.35216",47.67324,-122.35216
36,"47.67671, -122.3222",47.67671,-122.3222
38,"47.6792, -122.29542",47.6792,-122.29542
39,"47.67937, -122.28298",47.67937,-122.28298
40,"47.68006, -122.261",47.68006,-122.261
41,"47.66168, -122.26942",47.66168,-122.26942
42,"47.67116, -122.28487",47.67116,-122.28487
43.01,"47.67209, -122.30006",47.67209,-122.30006
43.02,"47.6648, -122.30366",47.6648,-122.30366
44,"47.67053, -122.31173",47.67053,-122.31173
45,"47.66868, -122.3228",47.66868,-122.3228
46,"47.66873, -122.33731",47.66873,-122.33731
47,"47.66729, -122.37619",47.66729,-122.37619
48,"47.66087, -122.36057",47.66087,-122.36057
49,"47.65793, -122.35095",47.65793,-122.35095
50,"47.66064, -122.34237",47.66064,-122.34237
51,"47.65816, -122.33233",47.65816,-122.33233
52,"47.66006, -122.32272",47.66006,-122.32272
53.01,"47.66238, -122.31353",47.66238,-122.31353
53.02,"47.6537, -122.30263",47.6537,-122.30263
54,"47.64925, -122.33851",47.64925,-122.33851
56,"47.64231, -122.40958",47.64231,-122.40958
57,"47.65943, -122.40159",47.65943,-122.40159
58.01,"47.65544, -122.38572",47.65544,-122.38572
58.02,"47.63971, -122.3816",47.63971,-122.3816
59,"47.64694, -122.36769",47.64694,-122.36769
60,"47.64463, -122.35198",47.64463,-122.35198
61,"47.64353, -122.32186",47.64353,-122.32186
62,"47.63827, -122.30169",47.63827,-122.30169
63,"47.63347, -122.28203",47.63347,-122.28203
64,"47.62901, -122.30495",47.62901,-122.30495
65,"47.62832, -122.31688",47.62832,-122.31688
66,"47.63121, -122.32744",47.63121,-122.32744
67,"47.63161, -122.34417",47.63161,-122.34417
68,"47.63601, -122.35713",47.63601,-122.35713
69,"47.63468, -122.36701",47.63468,-122.36701
70,"47.62826, -122.35653",47.62826,-122.35653
71,"47.6212, -122.35705",47.6212,-122.35705
72,"47.61889, -122.34263",47.61889,-122.34263
73,"47.62051, -122.33353",47.62051,-122.33353
74.01,"47.623, -122.32486",47.623,-122.32486
74.02,"47.61854, -122.32452",47.61854,-122.32452
75,"47.61866, -122.31679",47.61866,-122.31679
76,"47.62207, -122.30744",47.62207,-122.30744
77,"47.61877, -122.29722",47.61877,-122.29722
