GEOID,Census_Name,Census_Tract,Latitude,Longitude,Median_Household_Income,MHI_Error,Per_Capita_Income,Gini_Index_Of_Inequality,Total_Population
53033000100,"Census Tract 1, King, WA",1,47.72644,-122.28555,44951,7895,35081,0.5406,6918
53033000200,"Census Tract 2, King, WA",2,47.72708,-122.30881,56208,9564,31989,0.4115,7974
53033000300,"Census Tract 3, King, WA",3,47.73176,-122.33396,64297,17385,37813,0.4806,2637
53033000401,"Census Tract 4.01, King, WA",4.01,47.72904,-122.3525,32472,2474,27519,0.4875,5907
53033000402,"Census Tract 4.02, King, WA",4.02,47.71726,-122.35198,62726,5942,44576,0.4951,4906
53033000500,"Census Tract 5, King, WA",5,47.72079,-122.36786,125400,18158,57970,0.3939,3044
53033000600,"Census Tract 6, King, WA",6,47.71732,-122.33293,60131,6300,33146,0.3974,7674
53033000700,"Census Tract 7, King, WA",7,47.71576,-122.30195,51741,7235,32415,0.4303,4892
53033000800,"Census Tract 8, King, WA",8,47.71322,-122.28667,87222,15006,45387,0.4161,2487
53033000900,"Census Tract 9, King, WA",9,47.70895,-122.27585,125109,17335,66355,0.433,1971
53033001000,"Census Tract 10, King, WA",10,47.70629,-122.29594,69643,13439,34049,0.4346,2094
53033001100,"Census Tract 11, King, WA",11,47.70675,-122.30641,64549,15701,40647,0.4275,2669
53033001200,"Census Tract 12, King, WA",12,47.70797,-122.32332,31863,7656,30716,0.5563,6556
53033001300,"Census Tract 13, King, WA",13,47.70173,-122.34254,56744,12208,40540,0.4617,4389
53033001400,"Census Tract 14, King, WA",14,47.70537,-122.3652,72428,14501,37319,0.3811,5505
53033001500,"Census Tract 15, King, WA",15,47.6956,-122.39447,95927,16926,54960,0.3866,2398
53033001600,"Census Tract 16, King, WA",16,47.69988,-122.37945,96193,12747,55854,0.4593,4111
53033001701,"Census Tract 17.01, King, WA",17.01,47.6948,-122.3525,65188,5786,46431,0.4822,4055
53033001702,"Census Tract 17.02, King, WA",17.02,47.69682,-122.36477,62786,8108,36567,0.3992,4408
